18:23, Thursday, August 05, 2021
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X(mm)  ,Y(mm)  ,Z(mm)  ,URES(mm)
13327  ,-128.6  ,-190.422  ,-38  ,3.19449e-01
13311  ,-70.0287  ,-192.387  ,-28.5  ,3.19419e-01
15420  ,-106.369  ,-182.031  ,2  ,3.19360e-01
9598  ,-152.619  ,-188.456  ,-38  ,3.19357e-01
9473  ,-35.0262  ,-192.387  ,-19  ,3.19353e-01
14324  ,-120.193  ,-181.02  ,2  ,3.19351e-01
15329  ,-0.0142231  ,-192.387  ,-9.5  ,3.19309e-01
9099  ,35  ,-192.5  ,0  ,3.19306e-01
13324  ,-96.2806  ,-192.387  ,-38  ,3.19290e-01
12321  ,-139.594  ,-180.009  ,0  ,3.19285e-01
15320  ,9.21571  ,-190.478  ,0  ,3.19284e-01
12578  ,-121.202  ,-188.456  ,-28.5  ,3.19269e-01
9965  ,-82.5686  ,-188.456  ,-17  ,3.19268e-01
11670  ,-50.5686  ,-188.456  ,-8.5  ,3.19259e-01
13136  ,-93.1459  ,-190.422  ,-28.5  ,3.19252e-01
9020  ,-192.5  ,-175  ,4  ,3.19251e-01
13158  ,-25.4634  ,-190.422  ,-9.5  ,3.19246e-01
15471  ,17.799  ,-190.478  ,2  ,3.19243e-01
15482  ,43.75  ,-192.5  ,2  ,3.19242e-01
9840  ,-16.2352  ,-188.456  ,0  ,3.19210e-01
15438  ,-78.75  ,-183.041  ,4  ,3.19208e-01
13133  ,-85.0493  ,-190.422  ,-26.5  ,3.19206e-01
9073  ,52.5  ,-192.5  ,4  ,3.19174e-01
12871  ,-190.531  ,-181.675  ,-22.1667  ,3.19160e-01
13326  ,-119.623  ,-190.422  ,-38  ,3.19158e-01
13302  ,-61.2781  ,-192.387  ,-28.5  ,3.19152e-01
13354  ,-192.538  ,-183.641  ,-31.6667  ,3.19125e-01
13145  ,-51.548  ,-190.422  ,-18  ,3.19092e-01
13161  ,-26.2756  ,-192.387  ,-19  ,3.19079e-01
12586  ,-143.643  ,-188.456  ,-38  ,3.19064e-01
15323  ,8.73556  ,-192.387  ,-9.5  ,3.19020e-01
9445  ,-87.53  ,-192.387  ,-38  ,3.19014e-01
15317  ,43.75  ,-192.5  ,0  ,3.18997e-01
15321  ,17.799  ,-190.478  ,0  ,3.18997e-01
12322  ,-130.618  ,-180.009  ,0  ,3.18997e-01
15819  ,-192.5  ,-174.947  ,2  ,3.18987e-01
12579  ,-112.226  ,-188.456  ,-28.5  ,3.18980e-01
13159  ,-16.8801  ,-190.422  ,-9.5  ,3.18975e-01
15477  ,26.549  ,-190.478  ,2  ,3.18946e-01
15439  ,-70  ,-183.041  ,4  ,3.18945e-01
11686  ,-7.65191  ,-188.456  ,0  ,3.18936e-01
15489  ,52.5  ,-192.5  ,2  ,3.18927e-01
11669  ,-43.2485  ,-188.456  ,-9.5  ,3.18919e-01
13303  ,-52.5275  ,-192.387  ,-28.5  ,3.18883e-01
13321  ,-110.873  ,-190.422  ,-38  ,3.18875e-01
15496  ,61.25  ,-192.5  ,4  ,3.18853e-01
13307  ,-76.2987  ,-190.422  ,-27.5  ,3.18831e-01
13151  ,-42.7974  ,-190.422  ,-18  ,3.18823e-01
9472  ,-17.5249  ,-192.387  ,-19  ,3.18802e-01
15816  ,-183.75  ,-174.583  ,4  ,3.18801e-01
14332  ,-102.614  ,-181.02  ,2  ,3.18793e-01
9599  ,-134.667  ,-188.456  ,-38  ,3.18770e-01
13318  ,-78.7794  ,-192.387  ,-38  ,3.18740e-01
15322  ,17.4862  ,-192.387  ,-9.5  ,3.18727e-01
9063  ,-192.5  ,-174.894  ,0  ,3.18725e-01
12326  ,-121.789  ,-180.009  ,0  ,3.18713e-01
15312  ,26.549  ,-190.478  ,0  ,3.18700e-01
15353  ,-70  ,-183.041  ,2  ,3.18697e-01
